1, null, usr
2, 1, share
3, 2, dotnet
4, 3, host
5, 4, fxr
6, 5, 1 0 1
7, 3, sdk
8, 7, 1 0 0 preview2 003121
9, 8, runtimes
10, 9, win
11, 10, lib
12, 11, netstandard1 3
13, 10, native
14, 9, unix
15, 14, lib
16, 15, netstandard1 3
17, 9, win x64
18, 17, native
19, 9, win8 arm
20, 19, native
21, 9, win x86
22, 21, native
23, 3, shared
24, 23, Microsoft NETCore App
25, 24, 1 0 0
26, 2, doc
27, 26, liblttng ust ctl2
28, 26, libunwind8
29, 26, liblttng ust0
30, 26, liburcu2
31, 26, python six
32, 26, libserf 1 1
33, 26, libpython2 7 minimal
34, 26, python bzrlib
35, 26, python
36, 35, faq
37, 35, python policy html
38, 26, libpython stdlib
39, 26, perl modules
40, 26, mercurial
41, 40, examples
42, 41, hgsh
43, 41, vim
44, 26, libsqlite3 0
45, 26, python2 7
46, 45, python policy html
47, 26, git man
48, 26, libpython2 7 stdlib
49, 26, libapr1
50, 26, subversion
51, 50, examples
52, 51, mergegraph
53, 26, libcurl3 gnutls
54, 26, openssh client
55, 26, libedit2
56, 26, mime support
57, 26, libjs excanvas
58, 57, examples
59, 58, testcases
60, 26, libexpat1
61, 26, libgdbm3
62, 26, bzr
63, 26, python configobj
64, 26, libsvn1
65, 64, examples
66, 65, gdb py
67, 66, svndbg
68, 26, ucf
69, 68, examples
70, 26, libbsd0
71, 26, python2 7 minimal
72, 26, git
73, 72, RelNotes
74, 72, contrib
75, 74, workdir
76, 74, convert objects
77, 74, git jump
78, 74, gitview
79, 74, remote helpers
80, 74, thunderbird patch inline
81, 74, credential
82, 81, netrc
83, 81, wincred
84, 81, osxkeychain
85, 81, gnome keyring
86, 74, subtree
87, 86, t
88, 74, git shell commands
89, 74, diff highlight
90, 74, fast import
91, 74, contacts
92, 74, hg to git
93, 74, persistent https
94, 74, examples
95, 74, hooks
96, 74, stats
97, 74, svn fe
98, 74, buildsystems
99, 98, Generators
100, 26, python minimal
101, 26, libaprutil1
102, 26, mercurial common
103, 102, examples
104, 103, hgsh
105, 103, vim
106, 26, liberror perl
107, 26, perl
108, 26, libssl1 0 0
109, 26, libpsl0
110, 26, libsasl2 2
111, 26, librtmp1
112, 26, libgssapi krb5 2
113, 26, openssl
114, 113, HOWTO
115, 26, libgnutls deb0 28
116, 26, libsasl2 modules db
117, 26, libkeyutils1
118, 26, wget
119, 26, libffi6
120, 26, libp11 kit0
121, 120, examples
122, 26, ca certificates
123, 122, examples
124, 123, ca certificates local
125, 124, local
126, 124, debian
127, 126, source
128, 26, curl
129, 26, libldap 2 4 2
130, 26, libk5crypto3
131, 26, libkrb5 3
132, 26, libhogweed2
133, 26, libssh2 1
134, 26, libtasn1 6
135, 26, libcurl3
136, 26, libgmp10
137, 26, libidn11
138, 26, libnettle4
139, 26, libicu52
140, 26, libkrb5support0
141, 26, libsemanage1
142, 26, bsdutils
143, 26, libpam runtime
144, 26, libacl1
145, 26, libsystemd0
146, 26, passwd
147, 146, examples
148, 26, libslang2
149, 26, mawk
150, 149, examples
151, 26, startpar
152, 26, libgcc1
153, 26, multiarch support
154, 26, hostname
155, 26, libtext charwidth perl
156, 26, libcryptsetup4
157, 26, libdebconfclient0
158, 26, inetutils ping
159, 26, libusb 0 1 4
160, 26, util linux
161, 160, releases
162, 160, examples
163, 26, base files
164, 26, iproute2
165, 26, libblkid1
166, 26, tzdata
167, 26, dash
168, 26, libprocps3
169, 26, libbz2 1 0
170, 26, libcomerr2
171, 26, diffutils
172, 26, e2fslibs
173, 26, libgpg error0
174, 26, insserv
175, 26, libss2
176, 26, libpam modules bin
177, 26, sensible utils
178, 26, debianutils
179, 26, sysvinit utils
180, 26, libmount1
181, 26, debian archive keyring
182, 26, adduser
183, 182, examples
184, 183, adduser local conf examples
185, 184, skel other
186, 184, skel
187, 26, procps
188, 187, examples
189, 26, udev
190, 26, debconf i18n
191, 26, initscripts
192, 26, sysv rc
193, 26, libcap2 bin
194, 26, perl base
195, 26, libcap2
196, 26, libattr1
197, 26, libuuid1
198, 26, libselinux1
199, 26, libncurses5
200, 26, dmsetup
201, 26, readline common
202, 26, libsemanage common
203, 26, gzip
204, 26, libkmod2
205, 26, libtinfo5
206, 26, grep
207, 26, gcc 4 9 base
208, 26, lsb base
209, 26, libpcre3
210, 26, acl
211, 26, libc bin
212, 26, libpam modules
213, 212, examples
214, 26, libc6
215, 26, base passwd
216, 26, dpkg
217, 26, gnupg
218, 217, examples
219, 26, mount
220, 219, examples
221, 26, gpgv
222, 26, libsepol1
223, 26, bash
224, 26, liblzma5
225, 26, liblocale gettext perl
226, 26, coreutils
227, 26, zlib1g
228, 26, libdevmapper1 02 1
229, 26, libreadline6
230, 229, examples
231, 26, libaudit common
232, 26, e2fsprogs
233, 26, libncursesw5
234, 26, libstdc  6
235, 26, findutils
236, 26, sed
237, 236, examples
238, 26, libustr 1 0 1
239, 26, libapt pkg4 12
240, 26, libgcrypt20
241, 26, libtext iconv perl
242, 26, gcc 4 8 base
243, 26, apt
244, 243, examples
245, 26, init
246, 26, libdb5 3
247, 26, libaudit1
248, 26, systemd sysv
249, 26, libudev1
250, 26, systemd
251, 26, ncurses base
252, 26, libtext wrapi18n perl
253, 26, netbase
254, 26, ncurses bin
255, 26, debconf
256, 26, libsmartcols1
257, 26, tar
258, 26, login
259, 26, libpam0g
260, 2, bash completion
261, 260, completions
262, 2, upstart
263, 262, sessions
264, 2, python
265, 264, runtime d
266, 264, debpython
267, 2, mercurial
268, 267, templates
269, 268, raw
270, 268, atom
271, 268, static
272, 268, paper
273, 268, monoblue
274, 268, coal
275, 268, gitweb
276, 268, spartan
277, 268, rss
278, 267, help
279, 2, emacs
280, 279, site lisp
281, 2, lintian
282, 281, overrides
283, 2, applications
284, 2, debhelper
285, 284, autoscripts
286, 2, man
287, 286, man1
288, 286, man8
289, 286, man5
290, 286, man7
291, 286, man3
292, 286, zh_TW
293, 292, man1
294, 292, man8
295, 292, man5
296, 286, fi
297, 296, man1
298, 286, id
299, 298, man1
300, 298, man8
301, 286, fr
302, 301, man1
303, 301, man8
304, 301, man5
305, 286, ko
306, 305, man1
307, 305, man8
308, 305, man5
309, 286, da
310, 309, man1
311, 309, man8
312, 309, man5
313, 286, zh_CN
314, 313, man1
315, 313, man8
316, 313, man5
317, 286, pt
318, 317, man1
319, 317, man8
320, 317, man5
321, 286, sv
322, 321, man1
323, 321, man8
324, 321, man5
325, 286, tr
326, 325, man1
327, 325, man8
328, 325, man5
329, 286, cs
330, 329, man1
331, 329, man8
332, 329, man5
333, 286, ru
334, 333, man1
335, 333, man8
336, 333, man5
337, 286, it
338, 337, man1
339, 337, man8
340, 337, man5
341, 286, hu
342, 341, man1
343, 341, man8
344, 341, man5
345, 286, pt_BR
346, 345, man1
347, 345, man8
348, 345, man5
349, 286, ja
350, 349, man1
351, 349, man8
352, 349, man5
353, 286, de
354, 353, man1
355, 353, man8
356, 353, man5
357, 286, sl
358, 357, man1
359, 357, man8
360, 286, pl
361, 360, man1
362, 360, man8
363, 360, man5
364, 286, es
365, 364, man1
366, 364, man8
367, 364, man5
368, 2, doc base
369, 2, binfmts
370, 2, bug
371, 370, mime support
372, 370, procps
373, 370, gnupg
374, 370, apt
375, 2, git core
376, 375, templates
377, 376, info
378, 376, branches
379, 376, hooks
380, 375, contrib
381, 380, hooks
382, 2, gitweb
383, 382, static
384, 2, locale
385, 384, he
386, 385, LC_MESSAGES
387, 384, sr
388, 387, LC_MESSAGES
389, 384, el
390, 389, LC_MESSAGES
391, 384, ast
392, 391, LC_MESSAGES
393, 384, zh_TW
394, 393, LC_MESSAGES
395, 384, fa
396, 395, LC_MESSAGES
397, 384, ca
398, 397, LC_MESSAGES
399, 384, id
400, 399, LC_MESSAGES
401, 384, ro
402, 401, LC_MESSAGES
403, 384, fr
404, 403, LC_MESSAGES
405, 384, ar
406, 405, LC_MESSAGES
407, 384, ko
408, 407, LC_MESSAGES
409, 384, sk
410, 409, LC_MESSAGES
411, 384, da
412, 411, LC_MESSAGES
413, 384, is
414, 413, LC_MESSAGES
415, 384, zh_CN
416, 415, LC_MESSAGES
417, 384, sv
418, 417, LC_MESSAGES
419, 384, pt_PT
420, 419, LC_MESSAGES
421, 384, en_AU
422, 421, LC_MESSAGES
423, 384, tr
424, 423, LC_MESSAGES
